,acc,eo,dp,weight,client,rs
0,0.7965,0.23926780685486637,0.2353361945636624,1.0,0,0
1,0.7925,0.01653043936167775,0.07276044429441741,0.1,0,0
2,0.7935,0.011699521487281594,0.07463310347044738,0.10476157527896648,0,0
3,0.794,0.011699521487281594,0.0757060648438379,0.10974987654930562,0,0
4,0.794,0.011699521487281594,0.0757060648438379,0.11497569953977356,0,0
5,0.7945,0.009284062550083516,0.07664239443185289,0.12045035402587821,0,0
6,0.795,0.009284062550083516,0.079724646766649,0.12618568830660204,0,0
7,0.795,0.009284062550083516,0.079724646766649,0.1321941148466029,0,0
8,0.795,0.009284062550083516,0.079724646766649,0.1384886371393873,0,0
9,0.7955,0.006868603612885549,0.08066097635466393,0.14508287784959398,0,0
10,0.7955,0.006868603612885549,0.08066097635466393,0.1519911082952934,0,0
11,0.7955,0.006868603612885549,0.08267026731606947,0.1592282793341092,0,0
12,0.7955,0.005853236458028377,0.08454292649209943,0.16681005372000587,0,0
13,0.795,0.005853236458028377,0.08561588786549001,0.17475284000076838,0,0
14,0.795,0.007382288445796026,0.08748854704151998,0.18307382802953684,0,0
15,0.795,0.008911340433563564,0.08936120621754995,0.19179102616724888,0,0
16,0.7955,0.010298302985574659,0.0904341675909405,0.20092330025650468,0,0
17,0.796,0.010298302985574659,0.09137049717895548,0.2104904144512021,0,0
18,0.7965,0.011685265537585754,0.09244345855234604,0.22051307399030456,0,0
19,0.7965,0.011685265537585754,0.09244345855234604,0.23101297000831597,0,0
20,0.797,0.013072228089596849,0.09351641992573659,0.24201282647943823,0,0
21,0.7965,0.013072228089596849,0.09458938129912717,0.2535364493970112,0,0
22,0.7955,0.02175057810747072,0.09673530404590827,0.26560877829466867,0,0
23,0.7945,0.03838404652334182,0.10089051775409494,0.2782559402207124,0,0
24,0.7935,0.04312338301623275,0.10289980871550047,0.29150530628251775,0,0
25,0.794,0.04795430089062891,0.10771808844095096,0.30538555088334157,0,0
26,0.7945,0.05036975982782699,0.10865441802896594,0.31992671377973836,0,0
27,0.7965,0.05761613663942111,0.11253636816640145,0.33516026509388425,0,0
28,0.7965,0.062355473132312156,0.11669158187458811,0.35111917342151316,0,0
29,0.7955,0.062355473132312156,0.11856424105061808,0.36783797718286343,0,0
