,client,FL,Standalone,random_seed,Centralized,FL_eo,Standalone_eo,Centralized_eo,FL_dp,Standalone_dp,Centralized_dp,FL_eopp,Standalone_eopp,Centralized_eopp,attr
0,0,0.7965,0.7415,0,0.796,0.46590909090909094,0.36742424242424243,0.5733333333333333,0.3315217391304348,0.3042916163120767,0.1935483870967742,0.19999999999999996,0.2666666666666667,0.14736842105263148,0
1,0,0.7965,0.7415,0,0.796,0.23926780685486637,0.3258923460860407,0.19319092428509282,0.2353361945636624,0.2772580411824276,0.20352108148076706,0.12195939211170359,0.1770391954768904,0.09984221710417496,1
2,1,0.7736248236953456,0.7277856135401974,0,0.7778561354019746,0.45895394624208186,0.7247474747474747,0.4867745249101182,0.3314046930247509,0.36410739159051597,0.4256784681085549,0.17685589519650657,0.368421052631579,0.24912663755458508,0
3,1,0.7736248236953456,0.7277856135401974,0,0.7778561354019746,0.14179104477611937,0.13358208955223871,0.18201492537313435,0.17558188164519295,0.1461660956425228,0.20861683475687243,0.11268292182336881,0.08072163044147529,0.1311239045214786,1
4,2,0.808,0.7475,0,0.798,0.4920634920634921,0.5978835978835979,0.537037037037037,0.26004632310364795,0.31493506493506496,0.2807529549102583,0.10296105708429637,0.17652958876629887,0.13606035497797742,0
5,2,0.808,0.7475,0,0.798,0.22512437810945274,0.05099502487562191,0.15547263681592038,0.1998457183850257,0.07836845691370736,0.18013329051068017,0.09371798977489787,0.023818446520353698,0.09690453315890235,1
6,3,0.804,0.764,0,0.8055,0.8333333333333334,0.8333333333333334,0.5862068965517242,0.2962962962962963,0.2670250896057348,0.17174432497013142,0.1595394736842105,0.1428571428571428,0.09437229437229433,0
7,3,0.804,0.764,0,0.8055,0.1862738325504283,0.14014575849682226,0.17886501796076265,0.20007520609169344,0.17809142540545783,0.17971255671709407,0.11017683146878388,0.11627571273908344,0.09353121616744864,1
8,4,0.7645,0.729,0,0.7805,0.3500793231094659,0.4593579234972678,0.37377049180327876,0.29605635797224583,0.4357476635514018,0.3231736451653464,0.1700472353431508,0.3208649912331969,0.16832261835184104,0
9,4,0.7645,0.729,0,0.7805,0.2628761352277814,0.0646874714765644,0.11281450638671031,0.24045407636738908,0.11592169762641902,0.18329140866873067,0.12155768137960687,0.0646874714765644,0.10983031684200295,1
10,5,0.7755,0.6965,0,0.7825,0.7931034482758621,0.5403726708074534,0.7192118226600985,0.39010989010989006,0.3583916083916084,0.431013431013431,0.09474418604651158,0.18914728682170545,0.13921568627450986,0
11,5,0.7755,0.6965,0,0.7825,0.2922409638554217,0.12296385542168675,0.2498313253012049,0.23029070606921115,0.11657521939323934,0.21231409731915102,0.08599190664408063,0.03820816864295118,0.07695746282702798,1
12,6,0.7705,0.7205,0,0.7925,0.6196808510638298,0.2272727272727273,0.5598404255319149,0.3966632618318011,0.26319373510384747,0.4669731018045624,0.09529860228716647,0.1495238095238095,0.1980952380952381,0
13,6,0.7705,0.7205,0,0.7925,0.2773669730344295,0.13399033162357565,0.17481188325044905,0.23177935319021015,0.15601593226283222,0.1917783511611012,0.053786763856034425,0.06348772162335004,0.057473744230665536,1
14,7,0.7925729442970822,0.7188328912466844,0,0.7946949602122015,0.803088803088803,0.8108108108108109,0.6602316602316602,0.528310502283105,0.5146118721461187,0.4283105022831051,0.16666666666666663,0.24329501915708818,0.13218390804597702,0
15,7,0.7925729442970822,0.7188328912466844,0,0.7946949602122015,0.26736585889680353,0.1587357268139027,0.22980992948419654,0.2400240693413384,0.11764566684245398,0.22475310895658956,0.1099546124825248,0.0004564286215855695,0.10431468678782774,1
16,8,0.8045,0.7465,0,0.782,0.6894736842105263,0.6368421052631579,0.5894736842105264,0.33320964749536175,0.31502782931354356,0.36029684601113177,0.0888888888888889,0.260590195145169,0.1984848484848485,0
17,8,0.8045,0.7465,0,0.782,0.2547764101288906,0.10093663226822491,0.23483153052343653,0.1991287354042145,0.10787734181158529,0.1914508288432856,0.0979716512684703,0.05496704685666132,0.0994011255228866,1
18,9,0.8125,0.7335,0,0.802,0.5681818181818182,0.37264150943396224,0.5378787878787878,0.3680555555555556,0.28583203192781537,0.3055555555555556,0.09063293935711925,0.20090662678755022,0.10276600040379569,0
19,9,0.8125,0.7335,0,0.802,0.2028301886792453,0.10197663971248883,0.15354896675651397,0.21508862948551663,0.14866855614802005,0.20976045219452052,0.11210731035509558,0.08582874264870088,0.1272728541651157,1
20,10,0.7565,0.6735,0,0.7495,0.4772727272727273,0.3616600790513835,0.41901408450704225,0.35986805937328203,0.2888386123680241,0.365761689291101,0.23469387755102045,0.26083423618634893,0.3214285714285714,0
21,10,0.7565,0.6735,0,0.7495,0.23453937808776515,0.15498401627433883,0.1826649229875036,0.1880944334475933,0.17555802314166624,0.17341766040650802,0.0858621660220793,0.13633804872455102,0.08652934001897283,1
22,11,0.8005,0.7505,0,0.791,1.0,0.75,0.75,0.3069944285499172,0.2854803493449782,0.23398315658140983,0.1652377240841777,0.1738113795791114,0.09478792145425297,0
23,11,0.8005,0.7505,0,0.791,0.25749999999999995,0.11277548209366384,0.1335294117647059,0.258880046583851,0.17058100414078672,0.1882440476190476,0.14596246556473824,0.11277548209366384,0.10864325068870528,1
24,12,0.7805,0.7425,0,0.782,0.6666666666666667,0.44090909090909086,0.49166666666666664,0.41629185407296354,0.382335148215366,0.37831084457771114,0.15169424743892834,0.23955870764381393,0.1757289204097714,0
25,12,0.7805,0.7425,0,0.782,0.17640869768529344,0.06375185098589353,0.1320629724885044,0.2098330878891701,0.14310654695845793,0.21078361703049858,0.07545667214175511,0.04880441052036766,0.09782255443613908,1
26,13,0.813,0.754,0,0.81,0.5952380952380953,0.24174757281553405,0.5535714285714286,0.4739495798319328,0.3323768531802965,0.42372070779531323,0.31153846153846154,0.24174757281553405,0.20145631067961167,0
27,13,0.813,0.754,0,0.81,0.1678511705685618,0.168373745819398,0.11684782608695654,0.23683060932439556,0.18539328663603727,0.18625693555271022,0.12104251342329386,0.08781101315349438,0.07677693224647564,1
28,14,0.787,0.7435,0,0.769,0.41666666666666663,0.18567753001715265,0.41666666666666663,0.37222222222222223,0.1967335798556084,0.37777777777777777,0.33333333333333337,0.1305343511450382,0.34375,0
29,14,0.787,0.7435,0,0.769,0.22679197994987466,0.17622807017543857,0.2215288220551378,0.2222639149468418,0.1753095684803002,0.18043777360850535,0.10315160259713496,0.1030918272699165,0.06739358961146036,1
30,15,0.804,0.7345,0,0.793,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.2986869453333773,0.23098710039259673,0.289002557544757,0.1165113518700912,0.11935247619769174,0.1276376737004632,0
31,15,0.804,0.7345,0,0.793,0.13946793726424456,0.14469591688174177,0.1504533121567071,0.2057164802399809,0.19235363312800696,0.1826013855751407,0.10513327398408034,0.13324561862868312,0.0743785784108365,1
32,16,0.793,0.7265,0,0.7885,0.4329004329004329,0.595959595959596,0.5281385281385281,0.3116883116883117,0.5489177489177489,0.29016580903373357,0.2272727272727273,0.5,0.15040650406504064,0
33,16,0.793,0.7265,0,0.7885,0.12261148262745225,0.051040482782324204,0.143981989774983,0.17318820556563386,0.09417086151591242,0.16329877338202964,0.10015371607018231,0.051040482782324204,0.08160657542103233,1
34,17,0.783,0.744,0,0.785,0.6235294117647059,0.6556169429097606,0.5058823529411764,0.3766666666666667,0.40115440115440115,0.3975,0.19354838709677424,0.2372479240806643,0.29032258064516125,0
35,17,0.783,0.744,0,0.785,0.22624434389140274,0.20135746606334837,0.20814479638009042,0.2566872407406667,0.2468428863439084,0.23438643791176483,0.12258607957167911,0.14582294839841226,0.10144235207237151,1
36,18,0.7985,0.7425,0,0.796,0.625,0.55,0.625,0.26666666666666666,0.24799929490569367,0.27359617682198323,0.1581395348837209,0.16821705426356592,0.08382066276803124,0
37,18,0.7985,0.7425,0,0.796,0.15311355311355312,0.14238199014027886,0.11138861138861145,0.2110735398983277,0.1720588191171132,0.1805428456843278,0.13065399995768368,0.14238199014027886,0.10906840446014854,1
38,19,0.773,0.73,0,0.7885,0.21537960247637666,0.3022367090030348,0.217741935483871,0.328092959671907,0.31348826611984504,0.3496981891348088,0.08916083916083917,0.3022367090030348,0.217741935483871,0
39,19,0.773,0.73,0,0.7885,0.2117051410349916,0.16409841070610776,0.13293162813575998,0.19171441692655417,0.17535776425729205,0.17994719206460214,0.06979948133740854,0.09866166527739184,0.11439520237102896,1
40,20,0.783,0.753,0,0.8045,0.4745627980922098,0.32949125596184425,0.39825119236883944,0.34009216589861746,0.3027649769585254,0.3325862525368393,0.09660396101074076,0.11844924995129558,0.17552945139152043,0
41,20,0.783,0.753,0,0.8045,0.23603988603988613,0.09711332858161081,0.1552706552706552,0.24599999999999997,0.16999999999999998,0.20899999999999996,0.10841054882394863,0.09711332858161081,0.09048467569493945,1
42,21,0.7975,0.734,0,0.8,0.5387205387205387,0.4647616227420787,0.35690235690235694,0.2947131608548931,0.316210010239861,0.35020622422197223,0.24725274725274726,0.21985815602836878,0.2542857142857142,0
43,21,0.7975,0.734,0,0.8,0.3060237092051703,0.13359637220595588,0.24019852888666715,0.2487764108854336,0.14009644407566413,0.22648724701468304,0.13053146645373348,0.07175354218120367,0.12669681157267276,1
44,22,0.7795,0.728,0,0.7805,0.4423076923076923,0.75,0.2692307692307693,0.2477981356477017,0.40327868852459015,0.20045001607200258,0.1578947368421053,0.24534986713906115,0.15856950067476383,0
45,22,0.7795,0.728,0,0.7805,0.24379250739083375,0.09899678518925381,0.22191887045443526,0.26484764055019133,0.1718267121423196,0.2638948935965797,0.13673084278974879,0.08800969016957794,0.1432768073441285,1
46,23,0.8065,0.7545,0,0.8085,0.20871559633027525,0.2839501082362643,0.1014122255437584,0.21731681749669704,0.21432461434446315,0.16072423225550336,0.11687192118226608,0.125752599890531,0.07653256704980849,0
47,23,0.8065,0.7545,0,0.8085,0.10663816648854052,0.09965488004394607,0.07817146132626374,0.21852688820664257,0.17021944922116886,0.18214775533967761,0.10256869558986847,0.09965488004394607,0.07817146132626374,1
48,24,0.799,0.7365,0,0.8035,0.3992869875222816,0.6300174520069808,0.3672014260249554,0.37442557442557434,0.278921568627451,0.4035964035964036,0.16767676767676765,0.1222484991813716,0.2141414141414142,0
49,24,0.799,0.7365,0,0.8035,0.24977777777777777,0.10649095607235137,0.23260981912144696,0.21896005377376612,0.13579476345944558,0.2020677293387107,0.11108199079027736,0.07884579562733107,0.09245894395758147,1
50,25,0.76,0.7195,0,0.7585,0.4511278195488722,0.4364988558352403,0.2556390977443609,0.19832090467546482,0.23232323232323232,0.09131383996467643,0.11727879334736935,0.19790104947526244,0.0709268732274908,0
51,25,0.76,0.7195,0,0.7585,0.1975104182065901,0.09113883084348517,0.1834521687462864,0.255487885116287,0.12116792280547378,0.21627485783682954,0.1975104182065901,0.09113883084348517,0.15041173391720564,1
52,26,0.7765,0.748,0,0.78,0.4137630662020906,0.5277777777777778,0.2087688734030197,0.23364156137502648,0.23716786495779932,0.21963562753036436,0.15283094098883565,0.17304625199362045,0.16000000000000003,0
53,26,0.7765,0.748,0,0.78,0.17347443844721522,0.12195651992210033,0.1749475569802249,0.2387276484137292,0.15798820907051758,0.20874204303116692,0.1657625730309844,0.12195651992210033,0.1249153718206969,1
54,27,0.7825,0.7185,0,0.783,0.4733333333333333,0.4098039215686275,0.39241379310344826,0.2940489858400306,0.26330114135206323,0.3230769230769231,0.12827781715095676,0.13897944720056699,0.23981900452488691,0
55,27,0.7825,0.7185,0,0.783,0.19749694749694752,0.15763125763125763,0.13009768009768008,0.19247118528042848,0.1588300064540154,0.1627375464101923,0.09642955931003194,0.08265675307863374,0.07855633374271143,1
56,28,0.799,0.7165,0,0.803,0.38888888888888884,0.34444444444444444,0.7444444444444445,0.2967479674796748,0.29965156794425085,0.45325203252032525,0.08043478260869563,0.15434782608695652,0.16475972540045758,0
57,28,0.799,0.7165,0,0.803,0.22165834895098513,0.23276267486505653,0.17813949897169168,0.24211188133482306,0.22042881571096185,0.22700641942085048,0.08785994265848562,0.09236693028989318,0.08377124336902175,1
58,29,0.7375,0.728,0,0.779,0.652542372881356,0.48022598870056504,0.42929292929292934,0.4341880341880342,0.4512820512820513,0.4452991452991453,0.1558441558441559,0.235930735930736,0.20606060606060606,0
59,29,0.7375,0.728,0,0.779,0.309428894059677,0.15966329044620853,0.15754174650971808,0.2576245772187072,0.19126180259229114,0.20167380852999728,0.10914685163693294,0.1217780896601981,0.12172411001052597,1
60,30,0.81,0.7795,0,0.814,0.6025641025641026,0.7777777777777778,0.5817307692307692,0.42296918767507,0.4523809523809524,0.29271708683473385,0.17293997965412,0.29166666666666663,0.11804849101390302,0
61,30,0.81,0.7795,0,0.814,0.1683644595359366,0.08266450583937845,0.15610690950249528,0.20435533528572503,0.14615904482991665,0.18854596881179445,0.1146244822715411,0.08232181761593527,0.09557327204386024,1
62,31,0.7705,0.7115,0,0.7865,0.6463768115942028,0.3427382053654024,0.6057971014492753,0.34247282608695656,0.2759239130434783,0.37,0.1288171288171288,0.1346086346086347,0.14987714987714984,0
63,31,0.7705,0.7115,0,0.7865,0.2142857142857143,0.1640816326530612,0.10897959183673467,0.2106717814896321,0.169913537044386,0.16445398463148025,0.12427938443946829,0.10397112773357464,0.10681785697270008,1
64,32,0.787,0.7375,0,0.7935,0.5666666666666667,1.0,0.5464912280701755,0.38985507246376816,0.6782608695652174,0.43478260869565216,0.17166494312306102,0.5,0.22619047619047616,0
65,32,0.787,0.7375,0,0.7935,0.2335411699981661,0.13477678973877705,0.20550155877498621,0.24994624951624567,0.17488857399716598,0.23102107918971274,0.15232571847283638,0.13477678973877705,0.1319428873905214,1
66,33,0.7525252525252525,0.7261503928170595,0,0.7435465768799102,0.657142857142857,0.580952380952381,0.7142857142857143,0.24633271490414346,0.38547928262213976,0.2327272727272727,0.15000000000000002,0.2585858585858586,0.19999999999999996,0
67,33,0.7525252525252525,0.7261503928170595,0,0.7435465768799102,0.15918106789476077,0.22849506512743734,0.2035246910765583,0.23144720786563514,0.3139507695059702,0.21653367746551758,0.12476452688016237,0.22849506512743734,0.09478819494759216,1
68,34,0.7915,0.739,0,0.7865,0.41353383458646614,0.4225563909774436,0.49473684210526314,0.3909382518043304,0.29818230419673886,0.4141940657578187,0.2142857142857143,0.10761390887290168,0.19964028776978415,0
69,34,0.7915,0.739,0,0.7865,0.13962338558611853,0.16820467317361726,0.14680074928522135,0.22092520536100305,0.1609702006372996,0.21213431330162846,0.12221905894561869,0.05638566056103267,0.10576644916588995,1
